time,bname,vname,u
8.306500e+02,ZP,UZ,-2.700749e-04
8.321600e+02,ZP,UZ,-2.697983e-04
8.336600e+02,ZP,UZ,-2.692456e-04
8.351700e+02,ZP,UZ,-2.695219e-04
8.366800e+02,ZP,UZ,-2.689690e-04
8.381900e+02,ZP,UZ,-2.692456e-04
8.396900e+02,ZP,UZ,-2.697983e-04
8.412000e+02,ZP,UZ,-2.689690e-04
8.427100e+02,ZP,UZ,-2.695219e-04
8.442100e+02,ZP,UZ,-2.700749e-04
8.457200e+02,ZP,UZ,-2.692456e-04
8.472300e+02,ZP,UZ,-2.697983e-04
8.487400e+02,ZP,UZ,-2.695219e-04
8.502400e+02,ZP,UZ,-2.692456e-04
8.517500e+02,ZP,UZ,-2.706276e-04
8.532600e+02,ZP,UZ,-2.686926e-04
